Theme;Health;Health;Health;Economic security;Safety;Safety;Education;Children;Families;Access;Environ-ment;Happiness;;;;;;;;;;;;;;;;;;;;
Indicator name;Life Expectancy;Childhood Obesity;Incapacity Benefits claimant rate;Unemployment rate;Crime rate;Deliberate Fires;GCSE point scores;Unauthorised Pupil Absence;Children in out-of-work households;Public Transport Accessibility Scores;Access to public open space & nature;Subjective well-being average score;;;;;;;;;;;;;;;;;;;;
Importance;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
"
10 = very important and 
0 = not important at all";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Overall well-being probability score (E&W = 0);;;;;;;;;;;;;;;;;;;;;;;;;;;
Brent;E05000101;Sudbury;;;-2;-2;-2;-2;-13;;-2,8;;;;0;0;0;-11;;;;;;;;;;;;;;
Brent;E05000102;Tokyngton;;;-4;-4;-4;-4;-13;;-2,4;;;;0;0;0;-9;;;;;;;;;;;;;;
Brent;E05000103;Welsh Harp;;;-4;-4;-4;-4;-13;;-2,3;;;;0;0;0;-9;;;;;;;;;;;;;;
Brent;E05000104;Wembley Central;;;-16;-16;-16;-16;-13;;0,7;;;;0;0;0;3;;;;;;;;;;;;;;
Brent;E05000105;Willesden Green;;;2;2;2;2;-1;;-0,6;;;;0;0;0;-3;;;;;;;;;;;;;;
Bromley;E05000106;Bickley;;;8;8;8;8;8;;-0,1;;;;0;0;0;-1;;;;;;;;;;;;;;
Bromley;E05000107;Biggin Hill;;;23;23;23;23;23;;0,0;;;;0;0;0;0;;;;;;;;;;;;;;
Bromley;E05000108;Bromley Common and Keston;;;10;10;10;10;23;;3,2;;;;0;0;0;13;;;;;;;;;;;;;;
Bromley;E05000109;Bromley Town;;;7;7;7;7;8;;0,3;;;;0;0;0;1;;;;;;;;;;;;;;
Bromley;E05000110;Chelsfield and Pratts Bottom;;;-4;-4;-4;-4;-3;;0,3;;;;0;0;0;1;;;;;;;;;;;;;;
Bromley;E05000111;Chislehurst;;;9;9;9;9;8;;-0,4;;;;0;0;0;-2;;;;;;;;;;;;;;
Bromley;E05000112;Clock House;;;-5;-5;-5;-5;-1;;1,1;;;;0;0;0;4;;;;;;;;;;;;;;
Bromley;E05000113;Copers Cope;;;4;4;4;4;-1;;-1,3;;;;0;0;0;-5;;;;;;;;;;;;;;
Bromley;E05000114;Cray Valley East;;;-12;-12;-12;-12;-3;;2,1;;;;0;0;0;8;;;;;;;;;;;;;;
Bromley;E05000115;Cray Valley West;;;-13;-13;-13;-13;-3;;2,3;;;;0;0;0;9;;;;;;;;;;;;;;
Bromley;E05000116;Crystal Palace;;;-13;-13;-13;-13;-1;;2,9;;;;0;0;0;12;;;;;;;;;;;;;;
Bromley;E05000117;Darwin;;;9;9;9;9;23;;3,5;;;;0;0;0;14;;;;;;;;;;;;;;
Bromley;E05000118;Farnborough and Crofton;;;16;16;16;16;-3;;-4,7;;;;0;0;0;-19;;;;;;;;;;;;;;
Bromley;E05000119;Hayes and Coney Hall;;;20;20;20;20;23;;0,7;;;;0;0;0;3;;;;;;;;;;;;;;
Bromley;E05000120;Kelsey and Eden Park;;;-7;-7;-7;-7;-1;;1,4;;;;0;0;0;6;;;;;;;;;;;;;;
Bromley;E05000121;Mottingham and Chislehurst North;;;7;7;7;7;8;;0,3;;;;0;0;0;1;;;;;;;;;;;;;;
Bromley;E05000122;Orpington;;;-4;-4;-4;-4;-3;;0,3;;;;0;0;0;1;;;;;;;;;;;;;;
Bromley;E05000123;Penge and Cator;;;-7;-7;-7;-7;-1;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Bromley;E05000124;Petts Wood and Knoll;;;3;3;3;3;-3;;-1,6;;;;0;0;0;-6;;;;;;;;;;;;;;
Bromley;E05000125;Plaistow and Sundridge;;;-8;-8;-8;-8;8;;3,9;;;;0;0;0;16;;;;;;;;;;;;;;
Bromley;E05000126;Shortlands;;;7;7;7;7;-1;;-2,0;;;;0;0;0;-8;;;;;;;;;;;;;;
Bromley;E05000127;West Wickham;;;17;17;17;17;23;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Camden;E05000128;Belsize;;;2;2;2;2;3;;0,3;;;;0;0;0;1;;;;;;;;;;;;;;
Camden;E05000129;Bloomsbury;;;-8;-8;-8;-8;-7;;0,2;;;;0;0;0;1;;;;;;;;;;;;;;
Camden;E05000130;Camden Town with Primrose Hill;;;3;3;3;3;3;;0,2;;;;0;0;0;1;;;;;;;;;;;;;;
Camden;E05000131;Cantelowes;;;6;6;6;6;3;;-0,7;;;;0;0;0;-3;;;;;;;;;;;;;;
Camden;E05000132;Fortune Green;;;-12;-12;-12;-12;-1;;2,7;;;;0;0;0;11;;;;;;;;;;;;;;
Camden;E05000133;Frognal and Fitzjohns;;;14;14;14;14;-1;;-3,9;;;;0;0;0;-15;;;;;;;;;;;;;;
Camden;E05000134;Gospel Oak;;;-3;-3;-3;-3;3;;1,6;;;;0;0;0;6;;;;;;;;;;;;;;
Camden;E05000135;Hampstead Town;;;-16;-16;-16;-16;-1;;3,7;;;;0;0;0;15;;;;;;;;;;;;;;
Camden;E05000136;Haverstock;;;-2;-2;-2;-2;3;;1,3;;;;0;0;0;5;;;;;;;;;;;;;;
Camden;E05000137;Highgate;;;7;7;7;7;-1;;-1,9;;;;0;0;0;-8;;;;;;;;;;;;;;
Camden;E05000138;Holborn and Covent Garden;;;-4;-4;-4;-4;-7;;-0,6;;;;0;0;0;-3;;;;;;;;;;;;;;
Camden;E05000139;Kentish Town;;;12;12;12;12;3;;-2,2;;;;0;0;0;-9;;;;;;;;;;;;;;
Camden;E05000140;Kilburn;;;1;1;1;1;-1;;-0,5;;;;0;0;0;-2;;;;;;;;;;;;;;
Camden;E05000141;King's Cross;;;-5;-5;-5;-5;-7;;-0,6;;;;0;0;0;-2;;;;;;;;;;;;;;
Camden;E05000142;Regent's Park;;;-9;-9;-9;-9;-7;;0,6;;;;0;0;0;2;;;;;;;;;;;;;;
Camden;E05000143;St Pancras and Somers Town;;;-1;-1;-1;-1;-7;;-1,4;;;;0;0;0;-6;;;;;;;;;;;;;;
Camden;E05000144;Swiss Cottage;;;-11;-11;-11;-11;-1;;2,4;;;;0;0;0;9;;;;;;;;;;;;;;
Camden;E05000145;West Hampstead;;;-6;-6;-6;-6;-1;;1,4;;;;0;0;0;5;;;;;;;;;;;;;;
Croydon;E05000146;Addiscombe;;;2;2;2;2;-4;;-1,6;;;;0;0;0;-6;;;;;;;;;;;;;;
