Code;Ward name;LAD code;Borough;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
E05000093;Kenton;E09000005;Brent;38620;38810;40230;42410;42890;45290;45820;48880;48680;50320;51940;52870;;31120;31380;32100;33810;33700;35490;36370;37350;38830;39740;41540;42190
E05000094;Kilburn;E09000005;Brent;28570;28930;30240;32150;32770;34870;35540;38170;38270;39800;41310;42280;;23580;23950;24670;26180;26280;27860;28740;29700;31050;31960;33580;34270
E05000095;Mapesbury;E09000005;Brent;34030;34120;35310;37150;37500;39520;39920;42490;42230;43560;44870;45580;;27810;27980;28560;30020;29870;31390;32100;32890;34120;34840;36340;36830
E05000096;Northwick Park;E09000005;Brent;37570;37750;39140;41260;41720;44050;44560;47520;47320;48900;50450;51340;;30380;30640;31340;33000;32890;34630;35480;36430;37860;38730;40480;41100
E05000097;Preston;E09000005;Brent;32410;32550;33750;35580;35980;38010;38470;41040;40890;42280;43640;44440;;26590;26790;27400;28840;28740;30260;31010;31840;33100;33870;35400;35960
E05000098;Queens Park;E09000005;Brent;36240;36750;38440;40880;41680;44370;45230;48580;48710;50660;52600;53850;;29430;29920;30840;32730;32860;34850;35950;37150;38850;39980;42010;42880
E05000099;Queensbury;E09000005;Brent;31760;31880;33020;34790;35170;37130;37570;40070;39910;41250;42580;43360;;26100;26270;26840;28240;28130;29600;30310;31120;32340;33090;34580;35110
E05000100;Stonebridge;E09000005;Brent;22100;22310;23260;24670;25100;26670;27160;29150;29200;30360;31510;32250;;18020;18230;18730;19820;19860;21020;21660;22370;23380;24060;25270;25800
E05000101;Sudbury;E09000005;Brent;29090;29300;30470;32230;32700;34660;35200;37680;37670;39080;40480;41350;;24000;24240;24850;26240;26230;27700;28470;29320;30580;31390;32910;33530
E05000102;Tokyngton;E09000005;Brent;29860;29970;31050;32720;33080;34940;35360;37720;37580;38860;40120;40860;;24610;24780;25310;26630;26520;27910;28590;29350;30510;31210;32620;33130
E05000103;Welsh Harp;E09000005;Brent;28060;28190;29240;30860;31240;33040;33480;35770;35700;36970;38230;39000;;23170;23340;23870;25140;25060;26410;27080;27840;28980;29700;31090;31620
E05000104;Wembley Central;E09000005;Brent;27240;27400;28450;30050;30460;32250;32720;35000;34960;36240;37510;38290;;22500;22680;23220;24480;24440;25780;26460;27230;28370;29100;30490;31040
E05000105;Willesden Green;E09000005;Brent;28000;28130;29180;30790;31160;32940;33370;35630;35530;36770;37990;38710;;23120;23290;23820;25080;25000;26330;26990;27730;28840;29530;30880;31390
E05000106;Bickley;E09000006;Bromley;43360;43800;45630;48310;49030;51950;52710;56350;56240;58230;60180;61330;;33770;34210;35150;37160;37170;39260;40340;41520;43240;44330;46400;47190
E05000107;Biggin Hill;E09000006;Bromley;37710;37960;39420;41610;42120;44510;45070;48100;47920;49550;51150;52070;;29970;30270;31000;32690;32610;34370;35240;36210;37650;38540;40290;40930
E05000108;Bromley Common and Keston;E09000006;Bromley;34350;34900;36580;38960;39780;42380;43240;46470;46600;48470;50310;51480;;27580;28090;29010;30830;30990;32900;33960;35110;36720;37790;39700;40510
E05000109;Bromley Town;E09000006;Bromley;38000;38530;40300;42830;43630;46390;47230;50650;50700;52640;54550;55730;;30170;30670;31610;33530;33640;35630;36710;37890;39560;40650;42650;43460
E05000110;Chelsfield and Pratts Bottom;E09000006;Bromley;39510;40050;41860;44460;45270;48120;48980;52530;52570;54580;56560;57790;;31210;31710;32660;34630;34730;36780;37890;39100;40830;41950;44010;44850
E05000111;Chislehurst;E09000006;Bromley;40970;41520;43400;46100;46940;49890;50780;54450;54490;56580;58630;59910;;32190;32700;33690;35720;35820;37940;39080;40320;42100;43260;45380;46250
E05000112;Clock House;E09000006;Bromley;35530;36060;37750;40170;40980;43640;44510;47840;47980;49930;51850;53100;;28440;28920;29840;31690;31830;33770;34850;36030;37690;38800;40790;41650
E05000113;Copers Cope;E09000006;Bromley;38390;38850;40540;43000;43720;46410;47170;50520;50500;52360;54200;55310;;30440;30880;31770;33650;33700;35650;36680;37800;39430;40460;42410;43170
